,,,,,,,,,,,,
Día,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
17,"773,36","792,73","850,51","852,52",,"779,10","787,50","796,73","761,54",,"767,86",
18,,"791,95","855,09",,"823,86","798,53",,"803,40",,,"767,05",
19,,"796,90","862,69",,"820,65","812,19",,"796,23",,"795,68","758,10",
20,"771,38","797,40","867,83","849,45","819,08",,"787,26","784,25",,"788,27","758,62",
21,"769,93","804,74",,"856,23",,,"786,04","785,84","764,34","786,66",,
22,"770,50",,,"862,06","806,17","817,33","777,66",,"772,83","784,07",,
23,"772,12",,"851,01","856,51",,"816,02","769,06",,"773,40","781,41","761,55",
24,"771,94","809,82","861,07","858,87",,"817,90","767,17","790,88","781,44",,"765,96",
